LinkedIn Name,Corpus
Saurabh Gupta,"The Earth5R app transforms everyday people environmental actors offering data driven solutions urban environmental challenges. The app is the winner of GooglePlay Award Best Apps 2023 Best Apps Good'- India. The Earth5r app is available in English, Hindi, and Urdu. For more information on the app, visit: http://www.earth5r.org."
Jatin Singh,"Jatin Singh is the Founder and CEO of Skymet Weather based in Noida Uttar Pradesh, India. Jatin launched Skymet in 2003 with the intention of providing reliable accessible weather forecasts. Today Skymet has a massive IoT presence with 7500 Automated Weather Stations and 400 agricultural sensors."
Nilesh Bhattad,"Nilesh Bhattad is the founder and CEO of Thinksmart Technologies Pvt. Ltd. He is an IIMA alumnus and has worked for Infosys, Microsoft and CleanCarbon. His vision is to help businesses achieve net zero carbon emissions."
Subir Gupta,"Subir Gupta is the Founder CEO of Sustainability Group based in Gurgaon, Haryana, India. He is passionate about climate change and environmental social impact areas. He has been at the company for 5 months and is currently working on his second year as CEO."
Sachin Panwar,Sachin Panwar currently working Founder CEO Green Area YOGA. Background includes Turning indoor air quality indoor space worst best better best world backed data monitoring 24x365 Love solve challenges mysteries air pollution mitigation. Helped CPCB designing recommendations PMO Delhi High court ambitious projects.
Shalini Singh,phthalini Singh currently working Chief Executive Officer Technogreen Recycling Private Limited. Shalini Singh is based in Ahmedabad Gujarat India Waste Treatment Disposal industry. He has worked for the company for 3 years 8 months. His background includes Holding versatile experience 10 years business development 3 years experience E waste industry.
Rahul Nainani,"Rahul Nainani is the Co Founder CEO of ReCircle. He is based in Mumbai Maharashtra India Environmental Services industry. He has cleared 3 levels CFA program and is a Certified Scuba Diver. His background includes Shaping Tomorrow Today, Circular Economy Innovator and Clean Tech Advocate."
Dr Vic Gaffney Ⓥ,"Dr Vic Gaffney is the Founder CEO of RideHard Asia. He has worked in the events industry for 10 years. He is a graduate of the prestigious Indian Institute of Technology, Delhi. He lives in New Delhi, India with his wife and two children. He works as a consultant for events services in India and abroad."
Akanksha Priyadarshini,                 Akanksha Priyadarshini currently working Co Founder CEO Aurassure. Based Bhubaneswar Odisha India Environmental Services industry. Background includes passionate entrepreneur working field sustainability. Air Water Energy envision help solve environmental problems current future generations. Technology driven society help solve climate crisis started journey.
Kushagra Srivastava,"Kushagra Srivastava is the Chief Executive Officer of Aktion Consultancy. He is based in Ahmedabad, Gujarat, India. His background includes focus on EPC sales operation improvements, technical training processes, and waste water management. He has worked for 3 years and 5 months at Aktion."
Ajeet Bharadwaj,Ajeet Bharadwaj is the Chief Executive Officer of FrontMan. He is passionate about making environment healthy having sustainable solutions. His background includes 9 years quality experience Operations management and waste management. He has worked for FrontMan for 2 years 9 months and is currently based in New Delhi.
